商品代码,接入商代码,时间,ASK,BID,价格,上一口有效价格,涨跌幅,是否被过滤
DAGP,XAG BGN Curncy,2016-06-07 10:43:14.617,16.4424,16.4333,16.4380,0.0,0.000%,N
DAGP,XAG BGN Curncy,2016-06-07 10:43:14.618,16.4424,16.4333,16.4380,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:43:14.618,16.4423,16.4333,16.4380,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:43:35.087,16.4423,16.4320,16.4370,0.0,0.0000%,N
DAGP,XAG BGN Curncy,2016-06-07 10:43:35.087,16.4390,16.4320,16.4350,0.0,0.0100%,N
DAGP,XAG BGN Curncy,2016-06-07 10:43:54.600,16.4390,16.4320,16.4350,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:43:54.600,16.4390,16.4320,16.4350,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:44:05.697,16.4390,16.4320,16.4350,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:44:05.697,16.4390,16.4320,16.4350,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:44:14.606,16.4390,16.4320,16.4350,0.0,0.000%,Y
DAGP,XAG BGN Curncy,2016-06-07 10:44:14.607,16.4390,16.4320,16.4350,0.0,0.000%,Y
