商品代码,接入商代码,时间,ASK,BID,价格,上一口有效价格,涨跌幅,是否被过滤
WTI,CLN6 COMB Comdty,2016-06-07 10:43:13.759,0.0000,0.0000,49.5400,0.0,0.000%,N
WTI,CLN6 COMB Comdty,2016-06-07 10:43:13.985,0.0000,0.0000,49.5500,0.0,0.0200%,N
WTI,CLN6 COMB Comdty,2016-06-07 10:43:32.838,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:43:40.711,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:43:41.359,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:43:42.009,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:43:47.307,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:43:51.873,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:00.872,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:15.399,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:15.452,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:15.823,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:16.047,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:16.248,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:16.454,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:16.454,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:17.705,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:17.706,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:17.707,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:17.708,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:17.709,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:18.170,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:18.375,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:19.354,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:19.544,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:19.544,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:19.554,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:19.588,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:20.337,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:20.454,0.0000,0.0000,49.5600,0.0,0.0200%,N
WTI,CLN6 COMB Comdty,2016-06-07 10:44:20.491,0.0000,0.0000,49.5500,0.0,0.0200%,N
WTI,CLN6 COMB Comdty,2016-06-07 10:44:20.491,0.0000,0.0000,49.5500,0.0,0.000%,Y
WTI,CLN6 COMB Comdty,2016-06-07 10:44:20.497,0.0000,0.0000,49.5500,0.0,0.000%,Y
