商品代码,接入商代码,时间,ASK,BID,价格,上一口有效价格,涨跌幅,是否被过滤
XPD,XPD BGN Curncy,2016-06-07 10:43:21.666,0.0000,0.0000,555.3000,0.0,0.000%,N
XPD,XPD BGN Curncy,2016-06-07 10:43:21.667,0.0000,0.0000,555.3000,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:43:21.700,0.0000,0.0000,555.2900,0.0,0.0000%,N
XPD,XPD BGN Curncy,2016-06-07 10:43:21.701,0.0000,0.0000,555.2800,0.0,0.0000%,N
XPD,XPD BGN Curncy,2016-06-07 10:43:22.279,0.0000,0.0000,555.2800,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:43:22.281,0.0000,0.0000,555.2800,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:43:41.738,0.0000,0.0000,555.2600,0.0,0.0000%,N
XPD,XPD BGN Curncy,2016-06-07 10:43:41.738,0.0000,0.0000,555.2500,0.0,0.0000%,N
XPD,XPD BGN Curncy,2016-06-07 10:43:42.374,0.0000,0.0000,555.2500,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:43:42.375,0.0000,0.0000,555.2500,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:44:01.684,0.0000,0.0000,555.2500,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:44:01.685,0.0000,0.0000,555.2500,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:44:01.685,0.0000,0.0000,555.2400,0.0,0.0000%,N
XPD,XPD BGN Curncy,2016-06-07 10:44:01.685,0.0000,0.0000,555.2300,0.0,0.0000%,N
XPD,XPD BGN Curncy,2016-06-07 10:44:02.313,0.0000,0.0000,555.2300,0.0,0.000%,Y
XPD,XPD BGN Curncy,2016-06-07 10:44:02.313,0.0000,0.0000,555.2300,0.0,0.000%,Y
